Journal Title,2022 rating,Publisher,ISSN,ISSN Online,Year Inception,FoR
American Journal of Sociology,A*,The University of Chicago Press,0002-9602,1537-5390,1895,3507
American Law and Economics Review,B,Oxford University Press,1465-7252,1465-7260,1999,3801
American Political Science Review,A*,Cambridge University Press,0003-0554,1537-5943,1906,3599
American Psychologist,A*,American Psychological Association,0003-066X,1935-990X,1946,3507
American Review of Political Economy,C,American Review of Political Economy,1551-1383,,2002,3899
American Review of Public Administration,B,Sage Publications,0275-0740,1552-3357,1967,3599
American Sociological Review,A*,Sage Publications,0003-1224,1939-8271,1936,3507
AMS Review,B,Springer International Publishing,1869-814X,1869-8182,1997,3506
Analisis: cuadernos de investigacion,C,Centre for Latin American Monetary Studies (CEMLA),0252-8851,,1977,3801
Anatolia,B,Taylor & Francis Online,1303-2917,2156-6909,1990,3508
Annals Economy Series,C,Universitatea Constantin Brancusi din Targu-Jiu,1844-7007,,2009,3899
Annals of Actuarial Science,A,Cambridge University Press,1748-4995,1748-5002,2006,3502
Annals of Applied Probability,A,Institute of Mathematical Statistics,1050-5164,2168-8737,1991,4905
Annals of Applied Statistics,A,Institute of Mathematical Statistics,1932-6157,1941-7330,2007,4905
Annals of Economics and Finance,C,Peking University Press,1529-7373,,2000,3502
Annals of Finance,B,Springer International Publishing,1614-2446,1614-2454,2005,3502
Annals of Leisure Research,B,Routledge,1174-5398,2159-6816,1998,3504
Annals of Operations Research,A,Springer International Publishing,0254-5330,1572-9338,1984,3507
Annals of Probability,A*,Institute of Mathematical Statistics,0091-1798,2168-894X,1973,4905
Annals of Public and Cooperative Economics,B,Wiley-Blackwell Publishing,1370-4788,1467-8292,1925,3801
Annals of Statistics,A*,Institute of Mathematical Statistics,0090-5364,,1973,4905
Annals of the American Academy of Political and Social Science,B,Sage Publications,0002-7162,1552-3349,1891,3599
Annals of the Institute of Statistical Mathematics,A,Springer International Publishing,0020-3157,1572-9052,1949,4905
Annals of Tourism Research,A*,Elsevier,0160-7383,1873-7722,1973,3508
Annual Editions: Economics,C,Dushkin Publ. Group,1092-776X,,1971,3801
Annual Review of Banking and Financial Law,C,Boston University School of Law,1544-4627,,1982,4801
Annual Review of Economics,B,Annual Reviews,1941-1383,1941-1391,2009,3801
Annual Review of Financial Economics,B,Annual Reviews,1941-1367,1941-1375,2009,3801
